time,PN_m,PE_m,PD_m,P_m
23.8,650.63777,119.00123,-12.463091,661.548282
23.9,653.517409,118.034492,-12.985011,664.218154
24,656.288726,117.390071,-14.190566,666.855826
24.1,659.0545,116.874736,-15.476749,669.516294
24.2,661.969941,116.162946,-16.183558,672.279659
24.3,664.89754,115.192863,-16.070867,674.993635
24.4,667.792819,114.245854,-15.530068,677.672892
24.5,670.818639,113.747838,-15.188893,680.563678
24.6,673.888293,113.984008,-15.360046,683.632735
24.7,676.846312,114.793982,-15.766137,686.692915
24.8,679.805812,115.678423,-15.813403,689.759018
24.9,682.765251,116.170982,-15.108204,692.742624
25,685.552933,116.261442,-13.775958,695.477767
25.1,688.229951,116.471565,-12.243055,698.123186
25.2,690.862461,117.367412,-10.912995,700.846019
25.3,693.304234,118.987222,-9.937358,703.510818
25.4,695.613208,120.840601,-9.037602,706.089133
25.5,698.041914,122.301227,-7.818921,708.718025
25.6,700.603049,122.998857,-6.246284,711.345463
25.7,703.204423,123.232822,-4.586277,713.935447
25.8,705.853604,123.752849,-3.086897,716.626546
25.9,708.413677,125.033881,-1.942755,719.36582
26,710.799113,126.850518,-1.185197,722.030358
26.1,713.310741,128.570547,-0.648844,724.805505
26.2,716.187464,129.597192,-0.235002,727.818639
26.3,719.259955,129.843928,-0.017012,730.885989
26.4,722.35215,129.920798,-0.08976,733.942812
26.5,725.340531,130.588309,-0.456236,737.002307
26.6,727.995176,132.052423,-1.035395,739.875592
26.7,730.391734,133.849893,-1.811398,742.557176
26.8,732.89193,135.301791,-2.892228,745.282175
26.9,735.555425,135.966408,-4.297908,748.028823
27,738.202666,136.075121,-5.896572,750.66263
27.1,740.809298,136.378376,-7.529004,753.295535
27.2,743.325014,137.438072,-8.962068,755.977261
27.3,745.673434,139.120109,-10.065178,758.607001
27.4,748.053737,140.816786,-11.077833,761.272933
27.5,750.651004,141.910272,-12.329464,764.046773
27.6,753.343257,142.200097,-13.81475,766.771007
27.7,756.093342,142.129355,-15.232351,769.48679
27.8,759.017213,142.350412,-16.19288,772.420208
27.9,761.999427,143.10536,-16.430988,775.494841
28,764.934697,144.038785,-16.125652,778.544988
28.1,767.961267,144.565743,-15.80222,781.60954
28.2,771.033833,144.321993,-15.884808,784.585455
28.3,773.973578,143.452424,-16.295574,787.324103
28.4,776.880751,142.420225,-16.50538,789.999778
28.5,779.819147,141.636202,-15.998358,792.738711
28.6,782.621278,141.182647,-14.776324,795.391064
28.7,785.342435,140.747858,-13.367519,797.967035
28.8,788.177984,139.98184,-12.423971,800.608397
28.9,791.056857,138.87938,-12.254369,803.24878
29,793.914837,137.711118,-12.482715,805.866576
29.1,796.844997,136.743445,-12.366373,808.587439
29.2,799.737116,136.148604,-11.474567,811.324574
29.3,802.490468,135.913581,-10.082311,813.981023
29.4,805.33927,135.901468,-8.883223,816.773813
29.5,808.391621,136.046904,-8.471695,819.803356
29.6,811.443464,136.398547,-8.825571,822.874808
29.7,814.438064,137.04025,-9.268097,825.939034
29.8,817.371889,137.967477,-9.054519,828.983603
29.9,820.066607,139.064822,-8.018193,831.812813
30,822.553121,140.333952,-6.680823,834.465031
30.1,825.039489,141.9206,-5.771211,837.176756
30.2,827.474144,143.814414,-5.675749,839.897766
30.3,829.765414,145.860069,-6.062495,842.509678
30.4,832.063514,147.923098,-6.173852,845.132564
30.5,834.435373,149.776359,-5.500883,847.788658
30.6,836.807859,151.305187,-4.233003,850.387306
30.7,839.239317,152.79116,-3.028714,853.039825
30.8,841.722199,154.543874,-2.504377,855.795736
30.9,844.108164,156.490307,-2.768779,858.496054
31,846.52938,158.334242,-3.333016,861.215904
31.1,849.267689,159.733557,-3.587571,864.166238
31.2,852.261866,160.442408,-3.330903,867.238808
31.3,855.326723,160.656858,-2.944725,870.28909
31.4,858.404212,160.909245,-3.030079,873.360612
31.5,861.295429,161.555349,-3.890445,876.324759
31.6,863.90143,162.441062,-5.305506,879.05684
31.7,866.520153,163.060772,-6.828363,881.755419
31.8,869.337494,162.95962,-8.079225,884.516133
31.9,872.186758,162.175375,-8.991289,887.181738
32,874.996524,161.262721,-9.915199,889.788117
32.1,877.770247,160.870888,-11.208609,892.460465
32.2,880.38055,161.227805,-12.822498,895.113811
32.3,882.913293,161.904704,-14.47107,897.751874
32.4,885.629686,162.195384,-15.910544,900.500099
32.5,888.493236,161.722163,-16.96,903.250757
32.6,891.370877,160.805936,-17.641627,905.931463
32.7,894.356837,160.181354,-18.139052,908.769081
32.8,897.410019,160.403325,-18.519188,911.820667
32.9,900.354878,161.338726,-18.688486,914.887069
33,903.299843,162.280225,-18.557404,917.948722
33.1,906.346296,162.522549,-18.137007,920.981073
33.2,909.316844,161.943786,-17.509326,923.790825
33.3,912.17847,161.115702,-16.666082,926.447834
33.4,915.019028,160.78548,-15.504623,929.167469
33.5,917.700073,161.256001,-14.04656,931.865992
33.600001,920.198594,162.11569,-12.430919,934.452501
33.700001,922.782285,162.635415,-10.817637,937.066937
33.800001,925.532133,162.371761,-9.442647,939.714574
33.900001,928.32273,161.564094,-8.372803,942.314253
34.000001,931.154442,160.901938,-7.318065,944.982318
34.100001,933.942769,160.966118,-5.999981,947.731601
34.200001,936.526872,161.768485,-4.502307,950.406174
34.300001,939.111039,162.807472,-3.1511,953.124203
34.400001,941.994816,163.535557,-2.3284,956.087618
34.500001,945.072597,163.789605,-2.227919,959.163287
34.600001,948.144996,163.969239,-2.579466,962.222167
34.700001,951.142164,164.667989,-2.844753,965.29532
34.800001,953.86749,166.107898,-2.68086,968.226322
34.900001,956.274652,168.0132,-2.276598,970.924729
35.000001,958.661485,169.977046,-2.198325,973.616389
35.100001,961.158664,171.653426,-2.885999,976.370424
35.200001,963.613998,172.994073,-4.209464,979.028399
35.300001,966.014285,174.383086,-5.584609,981.643646
35.400001,968.401354,176.164558,-6.391223,984.314981
35.500001,970.697518,178.234165,-6.44757,986.946128
35.600001,972.986905,180.311074,-6.247608,989.572955
35.700001,975.430916,182.177989,-6.523874,992.318927
35.800001,977.937654,183.645506,-7.572375,995.060334
35.900001,980.455842,184.755014,-8.993881,997.751954
36.000001,983.181511,185.732642,-10.074448,1000.621803
36.100001,986.125067,186.630674,-10.30725,1003.683165
36.200001,989.113246,187.314336,-9.869602,1006.741816
36.300001,992.162585,187.699122,-9.508656,1009.805907
36.400001,995.222277,187.794551,-9.896956,1012.83371
36.500001,998.090738,187.646591,-11.044686,1015.636918
36.600001,1000.87502,187.254203,-12.34204,1018.315898
36.700001,1003.789606,186.558583,-13.083776,1021.062615
36.800001,1006.720216,185.581068,-13.015433,1023.76527
36.900001,1009.573339,184.44623,-12.60284,1026.361326
37.000001,1012.457778,183.338306,-12.61104,1029.000838
37.100001,1015.31005,182.483715,-13.427869,1031.666182
37.200001,1018.05976,181.902343,-14.730424,1034.287737
37.300001,1020.892612,181.314157,-15.825162,1036.989385
37.400001,1023.843116,180.474427,-16.16069,1039.753294
37.500001,1026.74515,179.474482,-15.766379,1042.432382
37.600001,1029.681763,178.669465,-15.207165,1045.178726
37.700001,1032.757176,178.459351,-15.05166,1048.170634
37.800001,1035.789643,178.967293,-15.380081,1051.249744
37.900001,1038.7345,179.868595,-15.721145,1054.309835
38.000001,1041.71661,180.639736,-15.488457,1057.376046
38.100001,1044.619066,180.957872,-14.481569,1060.275653
38.200001,1047.33968,181.049621,-13.003003,1062.952703
38.300001,1050.004894,181.523779,-11.509576,1065.642355
38.400001,1052.575827,182.773904,-10.345487,1068.3769
38.500001,1054.935559,184.584405,-9.483323,1071.004374
38.600001,1057.2695,186.374069,-8.518093,1073.604512
38.700001,1059.764477,187.569616,-7.149732,1076.259367
38.800001,1062.342102,188.041173,-5.504913,1078.870024
38.900001,1064.962016,188.335808,-3.878057,1081.49411
39.000001,1067.599708,189.176925,-2.51036,1084.233991
