Time,Value_1,Value_2,Value_3
8.08745,3.8273,6.15242,0.135864
8.09995,3.83612,6.18441,0.11601
8.11245,3.84418,6.21555,0.0978092
8.12495,3.85159,6.24549,0.0815587
8.13745,3.85846,6.27389,0.067538
8.14995,3.86497,0.0172493,0.0560045
8.16245,3.87126,0.0416545,0.047192
8.17495,3.8775,0.0636624,0.0413052
8.18745,3.88384,0.0830491,0.0385154
8.19995,3.89043,0.0996256,0.0389542
8.21245,3.89738,0.113239,0.0427077
8.22495,3.90477,0.123772,0.0498123
8.23745,3.91265,0.131149,0.0602504
8.24995,3.92102,0.13533,0.0739494
8.26245,3.92984,0.136319,0.0907818
8.27495,3.93906,0.134162,0.110569
8.28745,3.94856,0.128952,0.133084
8.29994,3.95823,0.120825,0.158063
8.31244,3.9679,0.109966,0.185209
8.32494,3.97744,0.0966059,0.214203
8.33744,3.98669,0.0810208,0.244709
8.34994,3.99553,0.0635278,0.276388
8.36244,4.00383,0.0444809,0.308896
8.37494,4.01151,0.0242654,0.341895
8.38744,4.01851,0.00329013,0.375053
8.39994,4.02482,6.26517,0.408045
8.41244,4.03043,6.24395,0.440555
8.42494,4.03541,6.22327,0.472278
8.43744,4.03981,6.20354,0.502916
8.44994,4.04376,6.18517,0.532184
8.46244,4.04737,6.16854,0.55981
8.47494,4.05079,6.154,0.585536
8.48744,4.05415,6.14186,0.609126
8.49994,4.0576,6.13242,0.630372
8.51244,4.06127,6.12591,0.649093
8.52494,4.06527,6.12253,0.66515
8.53744,4.06968,6.12241,0.678445
8.54994,4.07456,6.12568,0.688927
8.56244,4.07992,6.13239,0.696593
8.57494,4.08575,6.14256,0.70149
8.58744,4.092,6.15614,0.703709
8.59994,4.09858,6.17305,0.703384
8.61244,4.10539,6.19316,0.700683
8.62494,4.11232,6.2163,0.695806
8.63744,4.11923,6.24222,0.68897
8.64994,4.126,6.27067,0.680411
8.66244,4.13251,0.0181238,0.67037
8.67494,4.13867,0.0506088,0.659095
