Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
41.8001,1.03396,-0.49259,-0.13758,101.269,0,0,3763.36,97.4498,4.57849
42.0001,1.21067,-0.0766635,-0.362212,101.269,0,0,3776.46,103.834,23.8116
42.2001,1.31906,-0.0145499,-0.3299,101.269,0,0,3791.38,103.024,42.9638
42.4001,1.36001,-0.475823,-0.0878203,101.269,0,0,3807.67,105.542,60.6526
42.6001,1.41306,-0.164835,0.0446704,101.269,0,0,3826,108.703,76.1873
42.8001,1.53193,0.165394,0.202948,101.269,0,0,3846.05,101.992,87.8838
43.0001,1.62802,-0.328316,0.386838,101.269,0,0,3868.66,97.4372,94.653
43.2001,1.66047,-0.326519,0.568061,101.269,0,0,3892.78,100.432,97.2535
43.4001,1.75062,0.138411,0.73225,101.269,0,0,3916.12,94.7211,96.5862
43.6001,1.86181,-0.192269,0.680965,101.269,0,0,3938.9,86.6746,93.4022
43.8001,2.01118,-0.421841,0.550724,101.269,0,0,3962.91,89.1562,90.0492
44.0001,2.09048,0.0787203,0.689994,101.269,0,0,3986.95,87.5165,88.7906
44.2001,2.16494,0.104278,0.500313,101.269,0,0,4009.79,78.4792,90.0503
44.4001,2.28724,-0.144361,0.0744312,101.269,0,0,4033.48,78.2673,94.9932
44.6001,2.41168,0.260059,0.206732,101.269,0,0,4055.85,78.7557,104.724
44.8001,2.52455,0.524757,0.257491,101.269,0,0,4074.28,69.2194,117.751
45.0001,2.41317,0.291719,-0.264241,101.269,0,0,4092.55,62.2418,132.384
45.2001,2.5549,0.410934,-0.173621,101.269,0,0,4111.11,58.6933,148.196
45.4001,2.87758,0.570312,0.270155,101.269,0,0,4125.94,46.7707,163.51
45.6001,2.7937,0.354577,-0.148758,101.269,0,0,4141.93,33.4671,176.48
45.8001,2.86337,0.156594,-0.236342,101.269,0,0,4163.62,26.5199,185.935
46.0001,3.03438,0.0682587,0.307873,101.269,0,0,4183.31,13.1602,190.707
46.2001,3.16077,-0.1309,0.115575,101.269,0,0,4200.27,-4.84951,190.293
46.4001,3.34182,-0.273715,-0.291159,101.269,0,0,4222.25,-14.0613,184.706
46.6001,3.26676,-0.48551,0.167467,101.269,0,0,4242.71,-23.433,174.844
46.8001,3.33693,-0.556006,0.246615,101.269,0,0,4257.38,-38.6486,161.805
47.0001,3.68766,-0.363226,-0.279606,101.269,0,0,4274.92,-47.2147,146.99
47.2001,3.68559,-0.43537,0.00288579,101.269,0,0,4294.78,-51.1487,132.552
47.4001,3.60101,-0.466496,0.409973,101.269,0,0,4312.95,-61.824,119.503
47.6001,3.7901,-0.0522591,0.0885973,101.269,0,0,4333.75,-68.7962,108.505
47.8001,3.91431,0.101558,0.201945,101.269,0,0,4357.65,-66.932,101.75
48.0001,4.01097,-0.134931,0.67138,101.269,0,0,4381.33,-72.9783,99.5956
