time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
6.425,30.548559,0.678565,-4.310931,30.858694
6.45,30.465616,3.042257,-3.855935,30.858991
6.475,30.224288,5.269422,-3.32675,30.860034
6.5,29.878685,7.230295,-2.724769,30.861584
6.525,29.504885,8.818476,-2.058896,30.863292
6.55,29.184116,9.955836,-1.342707,30.864773
6.575,28.98529,10.592148,-0.591998,30.865694
6.6,28.950668,10.701789,0.176693,30.86585
6.625,29.087335,10.280656,0.946542,30.865205
6.65,29.36579,9.345567,1.700381,30.863904
6.675,29.725873,7.936602,2.420857,30.862238
6.7,30.089127,6.120696,3.091458,30.860583
6.725,30.375464,3.993515,3.698666,30.859311
6.75,30.520718,1.67679,4.234881,30.858712
6.775,30.490894,-0.690128,4.701298,30.858923
6.8,30.28933,-2.963263,5.109707,30.859902
6.825,29.95477,-5.008309,5.482415,30.861436
6.85,29.550926,-6.712394,5.850029,30.863187
6.875,29.150518,-7.99069,6.247417,30.86477
6.9,28.817959,-8.787503,6.708571,30.865838
6.925,28.594784,-9.073736,7.261229,30.866159
6.95,28.490717,-8.843626,7.922057,30.865672
6.975,28.481943,-8.113263,8.693141,30.864491
7,28.516749,-6.921703,9.56049,30.862889
7.025,28.527549,-5.333521,10.495149,30.861232
7.05,28.446988,-3.44023,11.457183,30.859899
7.075,28.224726,-1.357874,12.402059,30.859197
7.1,27.840832,0.780575,13.288139,30.859291
7.125,27.312279,2.837158,14.083321,30.860168
7.15,26.690749,4.682393,14.768883,30.86164
7.175,26.05244,6.206697,15.339352,30.863383
7.2,25.482718,7.327164,15.798508,30.865015
7.225,25.059499,7.989148,16.152889,30.866176
7.25,24.838897,8.164211,16.404961,30.866614
7.275,24.845622,7.847117,16.548184,30.866236
7.3,25.069317,7.054261,16.565721,30.865132
7.325,25.467126,5.824406,16.433518,30.86355
7.35,25.972069,4.220781,16.127316,30.861849
7.375,26.506022,2.332152,15.631916,30.86041
7.4,26.995056,0.270348,14.950124,30.859558
7.425,27.383938,-1.837094,14.108608,30.859485
7.45,27.646239,-3.858426,13.158662,30.860207
7.475,27.787341,-5.670602,12.171439,30.861562
7.5,27.839544,-7.170185,11.228897,30.863244
7.525,27.850688,-8.279613,10.412864,30.864876
7.55,27.86949,-8.948233,9.794696,30.866088
7.575,27.931348,-9.149587,9.427212,30.866608
7.6,28.047995,-8.877667,9.339503,30.866314
7.625,28.203251,-8.144665,9.534451,30.865267
7.65,28.355871,-6.981366,9.988635,30.863696
7.675,28.449097,-5.439475,10.654606,30.861944
7.7,28.42511,-3.593656,11.46573,30.860398
7.725,28.241184,-1.540619,12.343596,30.859396
7.75,27.883492,0.606465,13.207214,30.859155
7.775,27.374726,2.728008,13.982302,30.859722
7.8,26.773217,4.710255,14.608468,30.860962
7.825,26.163676,6.456389,15.042487,30.862588
7.85,25.642003,7.893584,15.257117,30.864228
7.875,25.29789,8.974802,15.236446,30.865508
7.9,25.198944,9.676235,14.970034,30.866133
7.925,25.379014,9.992801,14.448421,30.865957
7.95,25.832272,9.93433,13.662052,30.86501
7.975,26.513678,9.524216,12.604347,30.863496
8,27.345934,8.800668,11.278103,30.861748
8.025,28.232276,7.81916,9.702991,30.860148
8.05,29.073371,6.653841,7.921266,30.859049
8.075,29.785143,5.395831,5.999096,30.858692
8.1,30.313442,4.147611,4.022412,30.859152
8.125,30.641692,3.014299,2.0881,30.860321
8.15,30.789423,2.093929,0.29307,30.861934
8.175,30.802239,1.469021,-1.275729,30.863627
8.2,30.736206,1.200964,-2.548066,30.865018
8.225,30.641011,1.327297,-3.473343,30.865796
8.25,30.546155,1.860902,-4.020722,30.865786
8.275,30.453337,2.789875,-4.178343,30.864991
8.3,30.33656,4.077472,-3.953282,30.863589
8.325,30.149877,5.662668,-3.372773,30.861894
8.35,29.841003,7.462734,-2.485857,30.860288
8.375,29.367613,9.379218,-1.363707,30.859133
8.4,28.712132,11.307651,-0.096959,30.858692
8.425,27.890941,13.149598,1.210603,30.859068
8.45,26.955272,14.82418,2.451089,30.860182
8.475,25.983494,16.275826,3.52216,30.86179
8.5,25.06699,17.476044,4.334963,30.863538
8.525,24.293368,18.419048,4.818894,30.865042
8.55,23.730938,19.113133,4.923308,30.865972
8.575,23.417343,19.571002,4.617561,30.866129
8.6,23.353904,19.802318,3.891221,30.865486
8.625,23.506098,19.810817,2.755604,30.864194
8.65,23.809899,19.596735,1.246464,30.86255
8.675,24.183181,19.163544,-0.57381,30.860929
8.7,24.540573,18.526578,-2.616759,30.859703
8.725,24.809179,17.720351,-4.77296,30.859154
8.75,24.941799,16.801752,-6.921793,30.859414
8.775,24.924424,15.847564,-8.943938,30.860432
8.8,24.776078,14.946706,-10.733323,30.861988
8.825,24.541195,14.189153,-12.205249,30.863739
8.85,24.276824,13.654244,-13.299035,30.865302
8.875,24.038121,13.400675,-13.975735,30.866333
8.9,23.865627,13.459494,-14.213421,30.866607
8.925,23.776934,13.830483,-14.003192,30.866069
8.95,23.764141,14.481874,-13.348389,30.864843
8.975,23.797299,15.353468,-12.267727,30.863207
9,23.833015,16.363368,-10.800995,30.861528
9.025,23.826382,17.418236,-9.014414,30.860186
9.05,23.743524,18.426049,-7.002387,30.859482
9.075,23.571646,19.309126,-4.883491,30.859574
9.1,23.323864,20.014395,-2.790754,30.860443
9.125,23.037447,20.518174,-0.858498,30.861893
9.15,22.765955,20.824207,0.790722,30.863596
9.175,22.567398,20.955769,2.055982,30.865171
9.2,22.491363,20.944362,2.863275,30.86626
9.225,22.567972,20.818389,3.166935,30.866619
9.25,22.800769,20.594825,2.949248,30.866162
9.275,23.164794,20.275848,2.220281,30.864986
9.3,23.610321,19.850971,1.01878,30.863347
9.325,24.071941,19.303787,-0.58674,30.861607
9.35,24.481682,18.621277,-2.498785,30.860146
9.375,24.783724,17.802869,-4.595699,30.859286
9.4,24.947324,16.866452,-6.741271,30.859211
9.425,24.97458,15.849404,-8.797845,30.859931
9.45,24.900744,14.804253,-10.6398,30.861275
9.475,24.786908,13.790253,-12.163837,30.862936
9.5,24.706927,12.863294,-13.293712,30.864532
9.525,24.73186,12.066687,-13.979325,30.865699
9.55,24.915356,11.424702,-14.192306,30.866168
9.575,25.282753,10.939682,-13.921386,30.865827
9.6,25.825689,10.59272,-13.17044,30.864744
9.625,26.503081,10.347387,-11.960456,30.863153
9.65,27.248543,10.155839,-10.334507,30.861404
9.675,27.983264,9.966451,-8.362952,30.85988
9.7,28.632103,9.731854,-6.145438,30.858916
9.725,29.139425,9.415955,-3.807175,30.858725
9.75,29.480647,8.9985,-1.489128,30.859343
9.775,29.666289,8.476225,0.665767,30.860627
9.8,29.737321,7.860567,2.526663,30.862288
9.825,29.753121,7.17288,3.98559,30.863949
9.85,29.775373,6.438741,4.96313,30.865237
9.875,29.852022,5.682945,5.409482,30.865864
9.9,30.004999,4.926239,5.303109,30.865689
9.925,30.224299,4.18408,4.649527,30.864751
9.95,30.469636,3.466999,3.481677,30.863261
9.975,30.679505,2.781782,1.861486,30.861553
10,30.786002,2.132631,-0.119447,30.860011
10.025,30.732288,1.521704,-2.342616,30.858985
10.05,30.48846,0.948849,-4.670469,30.858707
10.075,30.061576,0.410732,-6.958875,30.859245
10.1,29.496896,-0.100154,-9.071523,30.860483
10.125,28.869921,-0.59603,-10.892416,30.86215
10.15,28.271422,-1.093491,-12.333288,30.863879
10.175,27.789382,-1.612107,-13.334821,30.86529
10.2,27.492048,-2.172019,-13.86305,30.866074
10.225,27.415386,-2.790835,-13.904024,30.866066
10.25,27.556856,-3.480286,-13.460029,30.865273
10.275,27.876262,-4.243246,-12.549427,30.863882
10.3,28.30348,-5.071862,-11.210055,30.862211
10.325,28.752027,-5.947459,-9.504101,30.860642
10.35,29.136254,-6.8426,-7.521197,30.859534
10.375,29.388766,-7.725106,-5.376797,30.859145
10.4,29.474004,-8.563083,-3.20463,30.859568
10.425,29.394452,-9.329543,-1.144437,30.860718
10.45,29.187829,-10.005169,0.671887,30.862343
10.475,28.916142,-10.578404,2.132131,30.864088
10.5,28.649722,-11.042955,3.15116,30.865567
10.525,28.450397,-11.393776,3.673553,30.866458
10.55,28.357642,-11.62315,3.673066,30.866566
10.575,28.380426,-11.718485,3.151296,30.865873
10.6,28.496084,-11.662975,2.137258,30.864538
10.625,28.656287,-11.439409,0.688003,30.862861
10.65,28.798947,-11.036344,-1.111198,30.861222
10.675,28.863708,-10.454969,-3.149425,30.859988
10.7,28.807541,-9.714475,-5.297123,30.859438
10.725,28.616566,-8.854021,-7.417499,30.859696
10.75,28.310861,-7.930401,-9.380134,30.860704
10.775,27.940882,-7.011911,-11.073286,30.862234
10.8,27.576508,-6.170067,-12.411666,30.863943
10.825,27.291641,-5.47124,-13.3382,30.865445
10.85,27.148191,-4.969809,-13.820691,30.866402
10.875,27.182872,-4.703464,-13.846143,30.866596
10.9,27.399241,-4.690504,-13.416015,30.86598
10.925,27.76628,-4.928563,-12.544789,30.864685
10.95,28.223819,-5.39452,-11.262312,30.862995
10.975,28.69415,-6.045776,-9.618367,30.861281
11,29.09799,-6.823423,-7.686517,30.85992
11.025,29.371622,-7.657574,-5.564185,30.859209
11.05,29.481226,-8.474396,-3.367245,30.8593
11.075,29.430561,-9.2035,-1.219616,30.860165
11.1,29.259804,-9.783936,0.759568,30.861602
11.125,29.035803,-10.167341,2.467681,30.863281
11.15,28.836387,-10.317872,3.82639,30.864818
11.175,28.732728,-10.209823,4.784475,30.86586
11.2,28.773724,-9.824739,5.316735,30.866168
11.225,28.975469,-9.149983,5.421192,30.865665
11.25,29.317577,-8.180019,5.116798,30.864456
11.275,29.74698,-6.920422,4.442694,30.862803
11.3,30.188694,-5.393223,3.458531,30.861068
11.325,30.561769,-3.641292,2.244173,30.859634
11.35,30.797261,-1.729371,0.896931,30.858816
11.375,30.854048,0.259602,-0.474693,30.858791
11.4,30.728331,2.232505,-1.760148,30.859561
11.425,30.45418,4.096261,-2.856885,30.86095
11.45,30.094965,5.767331,-3.678809,30.862641
11.475,29.728142,7.177953,-4.16135,30.864256
11.5,29.427442,8.278191,-4.262856,30.865429
11.525,29.246699,9.034648,-3.963521,30.8659
11.55,29.208635,9.427968,-3.263722,30.865561
11.575,29.300521,9.451423,-2.183297,30.864489
11.6,29.477305,9.111965,-0.762062,30.862925
11.625,29.671642,8.433615,0.9395,30.861219
11.65,29.809005,7.461551,2.841316,30.859756
11.675,29.824826,6.264474,4.848281,30.858867
11.7,29.679693,4.933177,6.858741,30.858755
11.725,29.368669,3.574538,8.775511,30.85945
11.75,28.922154,2.302005,10.516599,30.860801
11.775,28.398105,1.224877,12.022559,30.862512
11.8,27.867881,0.438927,13.258497,30.864205
11.825,27.399541,0.019894,14.210718,30.86551
11.85,27.042678,0.019892,14.879916,30.866142
11.875,26.817944,0.465579,15.273803,30.865968
11.9,26.713087,1.356729,15.401967,30.865034
11.925,26.686024,2.664629,15.274654,30.863557
11.95,26.674351,4.331013,14.905592,30.861876
11.975,26.609584,6.26928,14.31743,30.860373
12,26.433316,8.369729,13.547314,30.859395
12.025,26.11165,10.509382,12.650017,30.859169
12.05,25.644276,12.565004,11.69684,30.859752
12.075,25.065777,14.426209,10.770053,30.861023
12.1,24.438867,16.005096,9.954153,30.862704
12.125,23.841542,17.239966,9.326156,30.864425
12.15,23.351556,18.092936,8.946987,30.865808
12.175,23.031797,18.543581,8.855272,30.866551
12.2,22.919316,18.582065,9.063784,30.866492
12.225,23.019551,18.205142,9.558318,30.865651
12.25,23.306294,17.417008,10.298758,30.864218
12.275,23.727204,16.234827,11.22253,30.862518
12.3,24.214083,14.696672,12.250843,30.860932
12.325,24.696266,12.868312,13.297722,30.859819
12.35,25.114515,10.845336,14.280901,30.859428
12.375,25.432239,8.748657,15.132496,30.859848
12.4,25.641123,6.713899,15.806857,30.860985
12.425,25.759629,4.87736,16.283482,30.862581
12.45,25.82484,3.362281,16.564312,30.864279
12.475,25.879977,2.268381,16.666505,30.865695
