time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
9.375,0.356651,2.81112,-1.11961
9.4,0.271789,2.820361,-1.152371
9.425,0.191336,2.66166,-1.16565
9.45,0.124078,2.3438,-1.159253
9.475,0.078027,1.885022,-1.131036
9.5,0.059057,1.311815,-1.078983
9.525,0.06904,0.657203,-1.003904
9.55,0.104483,-0.041346,-0.911513
9.575,0.157052,-0.74414,-0.812411
9.6,0.216314,-1.411461,-0.719631
9.625,0.273419,-2.005631,-0.645028
9.65,0.323691,-2.492952,-0.596585
9.675,0.367059,-2.845507,-0.57769
9.7,0.406687,-3.042735,-0.587967
9.725,0.446879,-3.07264,-0.624494
9.75,0.491078,-2.932529,-0.682558
9.775,0.540327,-2.629235,-0.755718
9.8,0.592355,-2.178839,-0.835533
9.825,0.641549,-1.605911,-0.911651
9.85,0.680133,-0.942298,-0.972901
9.875,0.700537,-0.225424,-1.009547
9.9,0.698163,0.503874,-1.015984
9.925,0.673197,1.203893,-0.992515
9.95,0.630423,1.83473,-0.945142
9.975,0.577202,2.360767,-0.883527
10,0.520797,2.752737,-0.818318
10.025,0.466321,2.989277,-0.759087
10.05,0.415889,3.057972,-0.713384
10.075,0.368894,2.955909,-0.686634
10.1,0.323044,2.689733,-0.682271
10.125,0.275893,2.275214,-0.701557
10.15,0.226551,1.736316,-0.743001
10.175,0.17711,1.10385,-0.80172
10.2,0.132993,0.413784,-0.86958
10.225,0.101684,-0.294681,-0.936718
10.25,0.090171,-0.98121,-0.994152
10.275,0.102437,-1.60656,-1.036141
10.3,0.138361,-2.134837,-1.060929
10.325,0.194264,-2.535648,-1.069607
10.35,0.264269,-2.785973,-1.063991
10.375,0.341473,-2.871598,-1.044625
10.4,0.418523,-2.788031,-1.009616
10.425,0.487854,-2.54083,-0.954479
10.45,0.542171,-2.145298,-0.87304
10.475,0.575605,-1.625508,-0.759298
10.5,0.585512,-1.012697,-0.60989
10.525,0.574197,-0.343161,-0.426321
10.55,0.549439,0.344078,-0.215819
10.575,0.523072,1.009545,0.009857
10.6,0.507926,1.615343,0.237211
10.625,0.514403,2.126957,0.453961
10.65,0.547987,2.514954,0.650637
10.675,0.608174,2.75665,0.820259
10.7,0.688435,2.837668,0.956524
10.725,0.776701,2.75322,1.051587
10.75,0.856326,2.508834,1.094668
10.775,0.908182,2.120282,1.07269
10.8,0.914723,1.612421,0.973753
10.825,0.865853,1.016894,0.792996
10.85,0.764493,0.369049,0.538437
10.875,0.628301,-0.295078,0.233013
10.9,0.485231,-0.940828,-0.08957
10.925,0.364447,-1.535806,-0.393638
10.95,0.287233,-2.050241,-0.650268
10.975,0.26209,-2.457734,-0.841639
11,0.284957,-2.736776,-0.960107
11.025,0.34263,-2.872738,-1.00412
11.05,0.416957,-2.859626,-0.973893
11.075,0.488465,-2.701042,-0.868861
11.1,0.539419,-2.41001,-0.687653
11.125,0.556773,-2.007642,-0.430298
11.15,0.53507,-1.520926,-0.101679
11.175,0.478531,-0.980167,0.285424
11.2,0.401031,-0.416803,0.709426
11.225,0.323118,0.137938,1.142168
11.25,0.266573,0.653607,1.55366
11.275,0.248392,1.100958,1.917305
11.3,0.276382,1.452994,2.213264
11.325,0.347617,1.68692,2.428787
11.35,0.449626,1.7867,2.55606
11.375,0.563364,1.745444,2.589347
11.4,0.667107,1.566833,2.523307
11.425,0.740865,1.265003,2.353684
11.45,0.770953,0.862761,2.080229
11.475,0.753873,0.388483,1.710489
11.5,0.698052,-0.12735,1.262266
11.525,0.62227,-0.654909,0.762997
11.55,0.55084,-1.166346,0.245862
11.575,0.507152,-1.635874,-0.255781
11.6,0.507806,-2.039509,-0.713215
11.625,0.558951,-2.355489,-1.104608
11.65,0.655191,-2.565807,-1.414248
11.675,0.780487,-2.658601,-1.629745
11.7,0.910274,-2.630571,-1.738921
