time,p_deg_per_sec,q_deg_per_sec,r_deg_per_sec
40.100001,30,31.142424,-165.734904
40.200001,30,21.446792,-58.536742
40.300001,30,10.971249,98.105513
40.400001,30,0.096737,171.881214
40.500001,30,-10.781292,100.47441
40.600001,30,-21.26726,-55.799879
40.700001,30,-30.979847,-164.941815
40.800001,30,-39.565856,-134.762732
40.900001,30,-46.713056,9.246073
41.000001,30,-52.161541,145.44502
41.100001,30,-55.713178,158.79126
41.200001,30,-57.238811,38.011657
41.300001,30,-56.682961,-114.875164
41.400001,30,-54.065841,-170.730648
41.500001,30,-49.482623,-82.375474
41.600001,30,-43.099975,75.5596
41.700001,30,-35.150001,169.671922
41.800001,30,-25.921802,120.467857
41.900001,30,-15.750958,-30.491512
42.000001,30,-5.007333,-155.695687
42.100001,30,5.918383,-149.388749
42.200001,30,16.628878,-16.897965
42.300001,30,26.734665,129.865984
42.400001,30,35.86825,166.936335
42.500001,30,43.697489,63.000961
42.600001,30,49.937674,-94.149288
42.700001,30,54.361881,-171.774677
42.800001,30,56.809225,-104.30755
42.900001,30,57.190707,51.264792
43.000001,30,55.492455,163.535422
43.100001,30,51.776227,137.672968
43.200001,30,46.177162,-4.47739
43.300001,30,38.898869,-142.845842
43.400001,30,30.206023,-160.557029
43.500001,30,20.414739,-42.650885
43.600001,30,9.881074,111.281083
43.700001,30,-1.011914,171.217518
43.800001,30,-11.868104,86.532051
43.900001,30,-22.292712,-71.244242
44.000001,30,-31.906648,-168.842827
44.100001,30,-40.360302,-123.825335
44.200001,30,-47.346258,25.783414
44.300001,30,-52.610473,153.613747
44.400001,30,-55.961514,151.691514
44.500001,30,-57.27752,21.640364
44.600001,30,-56.510636,-126.689702
44.700001,30,-53.688749,-168.009073
44.800001,30,-48.914476,-67.416612
44.900001,30,-42.361434,90.120482
45.000001,30,-34.267923,171.535718
45.100001,30,-24.928263,108.060279
45.200001,30,-14.682089,-46.690184
45.300001,30,-3.902003,-162.002958
45.400001,30,7.019979,-140.477071
45.500001,30,17.686681,-0.294744
45.600001,30,27.710208,140.136544
45.700001,30,36.726057,162.199024
45.800001,30,44.406366,47.257233
45.900001,30,50.471843,-107.601215
46.000001,30,54.701917,-171.572395
46.100001,30,56.942762,-90.62192
46.200001,30,57.11289,66.873961
46.300001,30,55.206114,167.883569
46.400001,30,51.291773,127.087355
46.500001,30,45.512213,-21.05544
46.600001,30,38.077606,-151.413385
46.700001,30,29.258312,-153.877339
46.800001,30,19.375042,-26.36608
46.900001,30,8.787201,123.415754
47.000001,30,-2.120186,168.952291
47.100001,30,-12.950473,71.78029
47.200001,30,-23.309816,-86.022201
47.300001,30,-32.821501,-171.16452
47.400001,30,-41.139636,-111.729703
47.500001,30,-47.961733,42.079582
47.600001,30,-53.039706,160.345605
47.700001,30,-56.188896,143.172879
47.800001,30,-57.294784,5.066652
47.900001,30,-56.317152,-137.319213
48.000001,30,-53.291554,-163.715978
48.100001,30,-48.328015,-51.827149
48.200001,30,-41.607032,103.838397
48.300001,30,-33.373014,171.795006
48.400001,30,-23.925391,94.641928
48.500001,30,-13.607723,-62.452126
48.600001,30,-2.795212,-166.794889
48.700001,30,8.118947,-130.251402
48.800001,30,18.737861,16.311234
48.900001,30,28.675375,149.096297
49.000001,30,37.570112,155.944539
49.100001,30,45.098616,31.071471
49.200001,30,50.987114,-120.046665
49.300001,30,55.021471,-169.765263
49.400001,30,57.054979,-76.088633
49.500001,30,57.013688,81.857606
49.600001,30,54.899101,170.661371
49.700001,30,50.788114,115.312994
49.800001,30,44.830223,-37.436541
49.900001,30,37.242086,-158.56464
50.000001,30,28.299645,-145.758315
50.100001,30,18.32809,-9.834653
50.200001,30,7.690036,134.396022
50.300001,30,-3.227665,165.106722
50.400001,30,-14.027992,56.357112
50.500001,30,-24.318193,-99.995528
50.600001,30,-33.724066,-171.885179
50.700001,30,-41.903566,-98.588977
50.800001,30,-48.559249,57.982147
50.900001,30,-53.449079,165.577626
51.000001,30,-56.39524,133.315037
51.100001,30,-57.290594,-11.554453
51.200001,30,-56.102582,-146.66427
51.300001,30,-52.874405,-157.89152
51.400001,30,-47.723457,-35.752908
51.500001,30,-40.837051,116.58503
51.600001,30,-32.465609,170.447362
51.700001,30,-22.91356,80.338318
51.800001,30,-12.528261,-77.629906
51.900001,30,-1.687374,-170.026658
52.000001,30,9.214875,-118.80739
52.100001,30,19.782025,32.76464
52.200001,30,29.629805,156.661437
52.300001,30,38.4001,148.231384
52.400001,30,45.77398,14.595073
52.500001,30,51.483293,-131.369224
52.600001,30,55.320423,-166.370185
52.700001,30,57.145832,-60.843629
52.800001,30,56.893138,96.075573
52.900001,30,54.571532,171.842845
53.000001,30,50.265439,102.460022
53.100001,30,44.131448,-53.467469
53.200001,30,36.392622,-164.232717
53.300001,30,27.330382,-136.275899
53.400001,30,17.274276,6.788765
53.500001,30,6.589993,144.119179
53.600001,30,-4.333935,159.716782
53.700001,30,-15.100259,40.406783
53.800001,30,-25.317464,-113.033519
53.900001,30,-34.614003,-170.998062
54.000001,30,-42.651807,-84.52607
54.100001,30,-49.138583,73.34236
54.200001,30,-53.838439,169.26087
54.300001,30,-56.580467,122.210196
54.400001,30,-57.264953,-28.06748
54.500001,30,-55.867004,-154.637463
54.600001,30,-52.437459,-150.59018
54.700001,30,-47.101031,-19.344241
54.800001,30,-40.051779,128.241153
54.900001,30,-31.546048,167.505392
55.000001,30,-21.89315,65.283241
55.100001,30,-11.444109,-92.081552
55.200001,30,-0.578904,-171.668036
55.300001,30,10.307352,-106.25208
55.400001,30,20.818783,48.911573
55.500001,30,30.573141,162.761201
55.600001,30,39.21571,139.131705
55.700001,30,46.432204,-2.017844
55.800001,30,51.960196,-141.462985
55.900001,30,55.598661,-161.418917
56.000001,30,57.215288,-45.029508
56.100001,30,56.751286,109.39487
56.200001,30,54.22353,171.416939
56.300001,30,49.723942,88.648661
56.400001,30,43.416148,-68.998275
56.500001,30,35.529531,-168.364598
56.600001,30,26.350886,-125.518789
56.700001,30,16.213994,23.348683
56.800001,30,5.487482,152.494277
56.900001,30,-5.438582,152.832886
57.000001,30,-16.166872,24.078497
57.100001,30,-26.307256,-125.01422
57.200001,30,-35.490979,-168.511467
57.300001,30,-43.384077,-69.672526
57.400001,30,-49.699517,88.016545
57.500001,30,-54.207641,171.360886
57.600001,30,-56.744509,109.962227
57.700001,30,-57.21787,-44.31797
57.800001,30,-55.610509,-161.164211
57.900001,30,-51.980878,-141.880253
58.000001,30,-46.460968,-2.754633
58.100001,30,-39.25151,138.697737
58.200001,30,-30.614676,162.996613
58.300001,30,-20.864542,49.61752
58.400001,30,-10.355671,-105.671888
58.500001,30,0.529782,-171.703668
58.600001,30,11.39597,-92.702911
58.700001,30,21.847745,64.600998
58.800001,30,31.505029,167.338533
58.900001,30,40.016636,128.730619
59.000001,30,47.073043,-18.611886
59.100001,30,52.417643,-150.233533
59.200001,30,55.856082,-154.957772
59.300001,30,57.26332,-28.794191
59.400001,30,56.588184,121.690912
59.500001,30,53.855226,169.387636
59.600001,30,49.163827,74.0081
59.700001,30,42.684592,-83.883685
59.800001,30,34.653136,-170.921634
59.900001,30,25.361523,-113.587604
